amount,address
1000,0x62eAeFE649552fAc975048dd83E67C87A9F4Ee36
10,0x8feBf54324A976dAB11F7e91Ad4D519604aa0AB3
5,0xC5aB3d3073c246Be626af69831020Bc49f7AD223
3,0x74D028dC47CBbC8e5284b242C2B5ade7d57F9A4a
5,0x473254fF6e988B81f6A29d5D1E4Fb89399B26343
10,0x2dC35bd27c692420572b937C36736deDFDE56018
5,0x7b59BD70dC5cfe239235BCA28D7FB6b51254dB03
10,0x07E4e9695576d82dE346De5C22b805eddb86c13E
10,0x8A32Fac2f6D9Cd99D784d617C395fA656429e470
10,0xd9Bd45347f1E2751a71c8ccFf479C9ac3c45dd07
40,0x337A49a065f6643656e5dBf4F34694F24590eD90
5,0xb4D0c092B4f33b1dd1dC17b17e55cE7F665fDDD9
10,0xb77164de847cacDbe4BAbFAa6564E9319d2D2868
10,0x8dedcA90478A53a80FC5a5a0110c7440db28c6a0
10,0xf815A05c9F6671E799E85469cC40794331Fb2F20
10,0x7DfAF858Eb61483E866650F07C337A80C5711704
10,0x7fad7CDc84297078524EA358f0EA8F798c846B04
10,0x5AFbd8Dd4200E3E5109a3d0a1FC1e2BD19DFf663
5,0x401880DE7b4f32f6AE04dD47814E13C236c40e68
10,0x8d62219FF57417B8320d849Ce3Dd5489CD7F1EDD
4,0x28670A97F57e2E20fEe30CCeeb5E6107e5A3d382
10,0x82797f6ebEdAdf9e296ae85342A211E5da84cDD4
200,0xe2bE6BE340C90d43F778cb4ABbF565CE2c900388
6,0x66Fea52BF2E596197E505E54227856eccBb49561
3,0x7b6AbA4b17f1e724C84ad56284F8d9CAc1Afd1fe
3,0x36aEcbDCc675E5eA5558577b2bBFFcc10E52ca5A
2,0x9D82eD86E28F7C0Dd9B3D4356A891C9F79e58E35
3,0x381C5cd80Da0b2520c55ec4e5f6F1413d961A203
1,0x08a336F860f67ba3998D145374bA24D603d4a6fc
1,0x838320D8300b42391fCCfc411e32FDae0CaFaba5
1,0x8B8D089599d552A1189567AF19cdC0A80eCCB8Ca
4,0x69E4F543424D7843cF4e105Da7800F060319adb0
1,0x5700A51bC707bB1658D4176028DC8622675cF8Ab
6,0xBADE73BbA3eC143C8A0f1706DA8D81c9B6525fDD
4,0x2788103f10A13622cC10e7a31eA1C8C049b7741E
5,0x8730D417dc84015B24312De1293818372E70e979
5,0xE2659881B6fFc063Da35A565A8ffC50b1D3A8fE3
10,0x7E514FA548588AfE6e3728095a9a03DD46814188
10,0x65F14fB66e48d2b3bD2F58Ad020746cc5e819e4c
10,0xb7CC6D9c9261E26D0831E9d208a87Ed3A94A2121
10,0x1cc7c0fd7b7E4275c419dA17a24a167A743d3f72
5,0xbbD3C8c75B205BcD7decE886BA84F909326BA4B0
10,0x9d3833654a793cFA8D0A6Ce013d503F12A687FB7
10,0xa8f7e5665aDD899bB1C0eF402a8Db408973540E6
2,0x8de17397640dfC8dc2647b02869B5f47f2346BCe
3,0x11e7BCF31Ae57F43377CfD9627c249ac90ac4bAA
10,0x2eaA50a27985Fbad5Adb6120f53f7BDeaEa6865c
10,0x47FfefDAdb5380987165837a032C9Ca3924675cF
20,0x62897e241c3697d8240f25134fF05acEA14C9bdA
10,0x3840074D31138Bc5CF7D70a760BDc1f9Ebb07482
2,0x31d070c26B72bef2767Ac1cDf07a8B8E98d45419
2,0x623FbE38a5ce55c75a862139C3a30D02c70B792e
3,0xb60ee7915f45CcB906800f862bad6aB698B773DA
10,0x62897e241c3697d8240f25134fF05acEA14C9bdA
5,0xFeb5535258F01280D0de9a8417a009FD221643B3
10,0xb129e974375B66644D54D98E58A7bffFda630760
10,0x03238AF46f83c00A4FD65DCd435Bd9A492D4c1E5
10,0xF4916B3d07e191dCED9c620d24c849E5C029d79a
3,0x205D227892fE7032cdA3A8a9F8B307197a73f239
10,0x6A3c5AdF0E841e9AFAB1309B3130E57B195Ae01b
2,0xA6DDB32Ee6d6b299cd557dc2882736A9Bb5DACbE
5,0xd08332b9f0507ba7808F4CafEedFb91608656E0f
20,0xe0156a4eeeeBf0e5490242Fa95b303036297693D
5,0xc45d6EF5114E947809f364E14d04CEAD81B4accB
1,0x7Fbf10CD908416403ce0B8c24b8b624d2b607215
10,0x28aB548e7ADfbA235C3F63FBeF57EA3A2207957E
10,0x382b18bc51Da94FC2a2A1cEa4953373A7d5c689B
1,0x911bE042Ba27aFc848674Cb9B3b3411B04950FE3
15,0xFCEa9d8Cb36dFEEf5F2Fc549647fbFded1191567
10,0x76DA98acd4B060Ea6817CEc02f5991bE396bb31F
10,0xcDac732FD85c708AE0835E1405b3360FbeC6937D
1,0x82D22E35eB06c73e692dc995e97961D37CEFde55
5,0xcef1f478FA509dA189A1fe89a08465DADB6c8106
1,0x28670A97F57e2E20fEe30CCeeb5E6107e5A3d382
5,0x8cEE314Af18912FA21825275B4cb2e906866D301
10,0x1fdB469A6Af7ff0F58D8C8E956598114471a4e9a
5,0x90a8098511c0358abe0Ab3AC0f80C5BDe173C79b
10,0x1fF6b0f39a2EF6c1917710EB4D1657281B9f6b3B
5,0xcF6Aa072191c6dc0C22d67Dd68169183A1cC1B73
10,0x424F63c211015D8622CC2FBC2a7C363575aE3019
10,0x37E66d52b4c4e7bb42E2283535d6094B20720c62
10,0x98E4e25FeE8E79570c1e09e618cE2640C4D5584e
3,0x73836C1913C3e20a973408127E3f97752C070CcA
3,0x7072E94F3ef3a08DC2bDD4C539FF65EEDb488FE0
10,0xB4F215e06A58e5A0E2f58b314D416B34301CA9e4
10,0x3F3411C878310A927094844D1ebE267Ca15950aA
10,0x2BBfd057Df780454D76aEf1F6669CFfe875A3653
9,0xa240d4a4926FB0d8F548033BFC64F923712988Cd
10,0xB793253827a809AE7734Ba0F752A7fF56FB289f5
5,0x82DfF36299771E4024E20f347c79a212Ce5AEB90
4,0x57b616A99A45dAF059A26fdA7cDB05B235645cB6
10,0x82Cb45c98a42f7Bd26D8a6358262C5b7cd374e55
108,0xE2659881B6fFc063Da35A565A8ffC50b1D3A8fE3
2,0x3B05DB8558E0Ad3087C3cf675adF45401A07AB09
15,0xe673e3d72Ab5f589830eEF3ebAB7d69b7FEFD83C
12,0xef464f0E9BbDc319954601599Bcc674Ae88d749d
5,0x9326202DBCD807852B88EA99f5035abf47e843ED
5,0xcF204E0d52384D8228D15A33Cd4604d6F0d8e03F
10,0x8d1CBdB0D4682A407EdCb7c304F85f0ea6c66348
8,0xD529756148B23d3461861da5fEa8B93D2FE70F4a
3,0xA5428a9138360E9EfF0307F352754104F5F3d95e
10,0xaEe94aacfAB451af1717577a1A370951b2fCdeCD
10,0xe99fD944D70Bd5A59C8CE2b03e2e9300f1355794
6,0xBc8A55d8c67184a1890D2Eea9fC9D561e9709A8D
5,0xbba61433a476378183E88D4EC998fCbBD377c17f
5,0x94a23f00AFbebF9dA1bA40A37bF973546E64F0AB
5,0x189965D660a48c8A6B4eCcF9c119d4dfA9Abd650
10,0x4238498b2Be9622Ba4E359Fb74E5C42466f381cD
1,0x30B06F0058EfAAcfBEA31F72230C221702753779
10,0xC9585C1Dd8e0Cd45736dCa24f3a7881bB27e99f5
10,0x2D90883c742748E31768a8FcF2e6DDc66d35879e
3,0x8Ff559a1dbE2504D2dc7352F5649Bb4C8545Cc36
5,0x1BdB47BdAd9AD0B5993BE8145AEAFCF0AfDE987c
3,0x67dD3E97EB3A274525b7f1D58D863635Aa8f9EE5
5,0x40BfA166229827A460f456066E109120721686d2
5,0xFe53708581A53002CaffaBd7f00cD188CBD1881c
3,0x53CceAE5A247F28A9D5cb1a1d41e34A7Da2b6339
10,0xF860C1Fe064CbF736323d50e8e5C5B07a492f7AE
2,0x89033e2188F650D6656d417d9aa3f89055f4488C
5,0x59d9417574d5094cBee7D396e989F7fcc9B25cF8
5,0xd67396622536AfC9438B2F1D7a61140a9C13D6E9
3,0xD7138BE12E4581904AAdF4760C5c9a267b4F2Fb0
13,0x3C60ffE8423dFE58c131Fbd9e4BA14026ae6e4C9
10,0x9962b3c4cdFA28901f3838d3DBe6957eDb49A445
3,0x5da047a1606BdB014ad1DAdAD69A82BB293A4e41
10,0x880A09BDA053C6d0BD4aA55DC07BEa1B1be37BC9
10,0xDF7dC09264E5a91E833a3a4C22aD9bcfD1f929bA
10,0x380af6dbF7D37dADD97BDBC8a5cBa810aBB925e7
10,0x380af6dbF7D37dADD97BDBC8a5cBa810aBB925e7
10,0x380af6dbF7D37dADD97BDBC8a5cBa810aBB925e7
10,0x380af6dbF7D37dADD97BDBC8a5cBa810aBB925e7
10,0x380af6dbF7D37dADD97BDBC8a5cBa810aBB925e7
5,0x380af6dbF7D37dADD97BDBC8a5cBa810aBB925e7
4,0x9F4122145Ce23658A040989f1F04Cf37A30fd423
1,0x4F718181E97e1694342B0731c4DE1C7525FFa373
1,0xAb0d3A88F17649fED6B49F80700A26B27129EcEF
5,0xC26921C659b699C9752851c7D8298BEac885aA43
10,0x7b4A7593f93a4d7Cf9Addc08f53f15de8dF4Ecff
